2017-06-09T15:49:36.334000Z,MTC_HAAS,5,1.3,1000,21840,20839,21839
AccumulatedTime,yltime,2017-06-09T15:49:36.334000,total_time,21839,X:TOTAL,43078.684,
AccumulatedTime,yltime,2017-06-09T15:49:34.184000,total_time,21838,X:TOTAL,43076.534,
AccumulatedTime,yltime,2017-06-09T15:49:32.014000,total_time,21837,X:TOTAL,43074.364,
AccumulatedTime,yltime,2017-06-09T15:49:29.794000,total_time,21836,X:TOTAL,43072.144,
AccumulatedTime,yltime,2017-06-09T15:49:27.634000,total_time,21835,X:TOTAL,43069.984,
AccumulatedTime,yltime,2017-06-09T15:49:25.474000,total_time,21834,X:TOTAL,43067.824,
AccumulatedTime,yltime,2017-06-09T15:49:23.314000,total_time,21833,X:TOTAL,43065.664,
AccumulatedTime,yltime,2017-06-09T15:49:21.164000,total_time,21832,X:TOTAL,43063.514,
AccumulatedTime,yltime,2017-06-09T15:49:19.014000,total_time,21831,X:TOTAL,43061.364,
AccumulatedTime,yltime,2017-06-09T15:49:16.824000,total_time,21830,X:TOTAL,43059.174,
AccumulatedTime,yltime,2017-06-09T15:49:14.664000,total_time,21829,X:TOTAL,43057.014,
AccumulatedTime,yltime,2017-06-09T15:49:12.514000,total_time,21828,X:TOTAL,43054.864,
AccumulatedTime,yltime,2017-06-09T15:49:10.344000,total_time,21827,X:TOTAL,43052.694,
AccumulatedTime,yltime,2017-06-09T15:49:08.184000,total_time,21826,X:TOTAL,43050.534,
AccumulatedTime,yltime,2017-06-09T15:49:06.024000,total_time,21825,X:TOTAL,43048.374,
AccumulatedTime,yltime,2017-06-09T15:49:03.864000,total_time,21824,X:TOTAL,43046.214,
AccumulatedTime,yltime,2017-06-09T15:49:01.704000,total_time,21823,X:TOTAL,43044.054,
AccumulatedTime,yltime,2017-06-09T15:48:59.544000,total_time,21822,X:TOTAL,43041.894,
AccumulatedTime,yltime,2017-06-09T15:48:57.384000,total_time,21821,X:TOTAL,43039.734,
AccumulatedTime,yltime,2017-06-09T15:48:55.234000,total_time,21820,X:TOTAL,43037.584,
AccumulatedTime,yltime,2017-06-09T15:48:53.064000,total_time,21819,X:TOTAL,43035.414,
AccumulatedTime,yltime,2017-06-09T15:48:50.874000,total_time,21818,X:TOTAL,43033.224,
AccumulatedTime,yltime,2017-06-09T15:48:48.714000,total_time,21817,X:TOTAL,43031.064,
AccumulatedTime,yltime,2017-06-09T15:48:46.564000,total_time,21816,X:TOTAL,43028.914,
AccumulatedTime,yltime,2017-06-09T15:48:44.404000,total_time,21815,X:TOTAL,43026.754,
AccumulatedTime,yltime,2017-06-09T15:48:42.234000,total_time,21814,X:TOTAL,43024.584,
AccumulatedTime,yltime,2017-06-09T15:48:40.074000,total_time,21813,X:TOTAL,43022.424,
AccumulatedTime,yltime,2017-06-09T15:48:37.894000,total_time,21812,X:TOTAL,43020.244,
AccumulatedTime,yltime,2017-06-09T15:48:35.724000,total_time,21811,X:TOTAL,43018.074,
AccumulatedTime,yltime,2017-06-09T15:48:33.564000,total_time,21810,X:TOTAL,43015.914,
AccumulatedTime,yltime,2017-06-09T15:48:31.414000,total_time,21809,X:TOTAL,43013.764,
AccumulatedTime,yltime,2017-06-09T15:48:29.254000,total_time,21808,X:TOTAL,43011.604,
AccumulatedTime,yltime,2017-06-09T15:48:27.104000,total_time,21807,X:TOTAL,43009.454,
AccumulatedTime,yltime,2017-06-09T15:48:24.954000,total_time,21806,X:TOTAL,43007.304,
AccumulatedTime,yltime,2017-06-09T15:48:22.794000,total_time,21805,X:TOTAL,43005.144,
AccumulatedTime,yltime,2017-06-09T15:48:20.634000,total_time,21804,X:TOTAL,43002.984,
AccumulatedTime,yltime,2017-06-09T15:48:18.474000,total_time,21803,X:TOTAL,43000.824,
AccumulatedTime,yltime,2017-06-09T15:48:16.314000,total_time,21802,X:TOTAL,42998.664,
AccumulatedTime,yltime,2017-06-09T15:48:14.154000,total_time,21801,X:TOTAL,42996.504,
AccumulatedTime,yltime,2017-06-09T15:48:11.984000,total_time,21800,X:TOTAL,42994.334,
AccumulatedTime,yltime,2017-06-09T15:48:09.824000,total_time,21799,X:TOTAL,42992.174,
AccumulatedTime,yltime,2017-06-09T15:48:07.664000,total_time,21798,X:TOTAL,42990.014,
AccumulatedTime,yltime,2017-06-09T15:48:05.492000,total_time,21797,X:TOTAL,42987.842,
AccumulatedTime,yltime,2017-06-09T15:48:03.322000,total_time,21796,X:TOTAL,42985.672,
AccumulatedTime,yltime,2017-06-09T15:48:01.152000,total_time,21795,X:TOTAL,42983.502,
AccumulatedTime,yltime,2017-06-09T15:47:58.992000,total_time,21794,X:TOTAL,42981.342,
AccumulatedTime,yltime,2017-06-09T15:47:56.832000,total_time,21793,X:TOTAL,42979.182,
AccumulatedTime,yltime,2017-06-09T15:47:54.672000,total_time,21792,X:TOTAL,42977.022,
AccumulatedTime,yltime,2017-06-09T15:47:52.502000,total_time,21791,X:TOTAL,42974.852,
AccumulatedTime,yltime,2017-06-09T15:47:50.332000,total_time,21790,X:TOTAL,42972.682,
AccumulatedTime,yltime,2017-06-09T15:47:48.142000,total_time,21789,X:TOTAL,42970.492,
AccumulatedTime,yltime,2017-06-09T15:47:45.982000,total_time,21788,X:TOTAL,42968.332,
AccumulatedTime,yltime,2017-06-09T15:47:43.812000,total_time,21787,X:TOTAL,42966.162,
AccumulatedTime,yltime,2017-06-09T15:47:41.652000,total_time,21786,X:TOTAL,42964.002,
AccumulatedTime,yltime,2017-06-09T15:47:39.502000,total_time,21785,X:TOTAL,42961.852,
AccumulatedTime,yltime,2017-06-09T15:47:37.342000,total_time,21784,X:TOTAL,42959.692,
AccumulatedTime,yltime,2017-06-09T15:47:35.180000,total_time,21783,X:TOTAL,42957.53,
AccumulatedTime,yltime,2017-06-09T15:47:33.010000,total_time,21782,X:TOTAL,42955.36,
AccumulatedTime,yltime,2017-06-09T15:47:30.840000,total_time,21781,X:TOTAL,42953.19,
AccumulatedTime,yltime,2017-06-09T15:47:28.690000,total_time,21780,X:TOTAL,42951.04,
AccumulatedTime,yltime,2017-06-09T15:47:26.530000,total_time,21779,X:TOTAL,42948.88,
AccumulatedTime,yltime,2017-06-09T15:47:24.370000,total_time,21778,X:TOTAL,42946.72,
AccumulatedTime,yltime,2017-06-09T15:47:22.210000,total_time,21777,X:TOTAL,42944.56,
AccumulatedTime,yltime,2017-06-09T15:47:20.040000,total_time,21776,X:TOTAL,42942.39,
AccumulatedTime,yltime,2017-06-09T15:47:17.880000,total_time,21775,X:TOTAL,42940.23,
AccumulatedTime,yltime,2017-06-09T15:47:15.730000,total_time,21774,X:TOTAL,42938.08,
AccumulatedTime,yltime,2017-06-09T15:47:13.560000,total_time,21773,X:TOTAL,42935.91,
AccumulatedTime,yltime,2017-06-09T15:47:11.380000,total_time,21772,X:TOTAL,42933.73,
AccumulatedTime,yltime,2017-06-09T15:47:09.220000,total_time,21771,X:TOTAL,42931.57,
AccumulatedTime,yltime,2017-06-09T15:47:07.060000,total_time,21770,X:TOTAL,42929.41,
AccumulatedTime,yltime,2017-06-09T15:47:04.884000,total_time,21769,X:TOTAL,42927.234,
AccumulatedTime,yltime,2017-06-09T15:47:02.724000,total_time,21768,X:TOTAL,42925.074,
AccumulatedTime,yltime,2017-06-09T15:47:00.564000,total_time,21767,X:TOTAL,42922.914,
